id,type,pLoad,qLoad,pGen,vSet
160,1,73.4,0,0,1
161,1,240.7,89,0,1
162,1,40,4,0,1
163,1,136.8,16.6,0,1
164,2,0,0,200,1.0522
165,2,59.8,24.3,1200,1.065
166,2,59.8,24.3,1200,1.065
167,1,182.6,43.6,0,1
168,1,7,2,0,1
169,2,0,0,475,1.0551
170,2,489,53,1973,1.0435
171,1,800,72,0,1
172,1,0,0,0,1
173,1,0,0,0,1
174,1,0,0,0,1
175,1,10,3,0,1
176,1,43,14,0,1
177,2,64,21,424,1.015
178,1,35,12,0,1
179,1,27,12,0,1
180,1,41,14,0,1
181,1,38,13,0,1
182,1,42,14,0,1
183,1,72,24,0,1
184,1,0,-5,0,1
185,1,12,2,0,1
186,1,-21,-14.2,0,1
187,1,7,2,0,1
188,1,38,13,0,1
189,1,0,0,0,1
190,1,96,7,0,1
191,1,0,0,0,1
192,2,0,0,272,1.01
193,1,22,16,0,1
194,1,47,26,0,1
195,1,176,105,0,1
196,1,100,75,0,1
197,1,131,96,0,1
198,1,0,0,0,1
199,2,285,100,100,1.008
200,2,171,70,450,1
201,2,328,188,250,1.05
202,1,428,232,0,1
203,1,173,99,0,1
204,1,410,40,0,1
205,1,0,0,0,1
206,2,538,369,303,1
207,1,223,148,0,1
208,1,96,46,0,1
209,2,0,0,345,1.04
210,1,159,107,0,1
211,1,448,143,0,1
212,2,404,212,300,1
213,1,572,244,0,1
214,1,269,157,0,1
215,2,0,0,600,1.0165
216,1,0,0,0,1
217,2,255,149,250,1.01
218,2,0,0,550,1
219,1,0,0,0,1
220,2,0,0,575.43,1.05
221,2,0,0,170,0.993
222,2,8,3,84,1.01
223,1,0,0,0,1
224,1,61,30,0,1
225,1,77,33,0,1
226,1,61,30,0,1
227,1,29,14,0,1
228,1,29,14,0,1
229,1,-23,-17,0,1
230,1,-33.1,-29.4,0,1
231,1,115.8,-24,0,1
232,1,2.4,-12.6,0,1
233,1,2.4,-3.9,0,1
234,1,-14.9,26.5,0,1
235,1,24.7,-1.2,0,1
236,1,145.3,-34.9,0,1
237,1,28.1,-20.5,0,1
238,1,14,2.5,0,1
239,1,-11.1,-1.4,0,1
240,1,50.5,17.4,0,1
241,1,29.6,0.6,0,1
242,1,-113.7,76.7,0,1
243,1,100.31,29.17,0,1
244,1,-100,34.17,0,1
245,1,0,0,0,1
246,1,0,0,0,1
247,2,0,0,467,1.0507
248,2,0,0,623,1.0507
249,2,0,0,1210,1.0323
250,2,0,0,234,1.0145
251,2,0,0,372,1.0507
252,2,0,0,330,1.0507
253,2,0,0,185,1.0507
254,2,0,0,410,1.029
255,2,0,0,500,1.05
256,2,0,0,37,1.0145
257,3,0,0,0,1.0507
258,2,0,0,45,0.9967
259,2,0,0,165,1.0212
260,2,0,0,400,1.0145
261,2,0,0,400,1.0017
262,2,0,0,116,0.9893
263,2,0,0,1292,1.0507
264,2,0,0,700,1.0507
265,2,0,0,553,1.0145
266,1,0,0,0,1
267,1,4.2,0,0,1
268,1,2.71,0.94,0,1
269,1,0.86,0.28,0,1
270,1,0,0,0,1
271,1,0,0,0,1
272,1,0,0,0,1
273,1,0,0,0,1
274,1,4.75,1.56,0,1
275,1,1.53,0.53,0,1
276,1,0,0,0,1
277,1,1.35,0.47,0,1
278,1,0.45,0.16,0,1
279,1,0.45,0.16,0,1
280,1,1.84,0.64,0,1
281,1,1.39,0.48,0,1
282,1,1.89,0.65,0,1
283,1,1.55,0.54,0,1
284,1,1.66,0.58,0,1
285,1,3.03,1,0,1
286,1,1.86,0.64,0,1
287,1,2.58,0.89,0,1
288,1,1.01,0.35,0,1
289,1,0.81,0.28,0,1
290,1,1.6,0.52,0,1
291,1,0,0,0,1
292,1,35.81,0,0,1
293,1,30,23,0,1
294,1,26.48,0,0,1
295,2,0,0,50,1
296,2,0,0,8,1
297,1,1.02,0.35,0,1
298,1,1.02,0.35,0,1
299,1,3.8,1.25,0,1
300,1,1.19,0.41,0,1
